SCAN FILE,SITE,SLOPE, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,1.97,0.09,1.6,221
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,2.28,0.1,1.5,148
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,2.66,0.11,1.2,138
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,2.69,0.06,4.2,1855
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,2.81,0.04,3.6,557
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,3.02,0.1,1.3,101
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,3.05,0.02,22.7,1403
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,3.13,0.07,2.1,580
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,3.28,0.04,9.5,526
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,3.89,0.06,9.4,1294
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,4.04,0.06,3,445
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,4.17,0.1,1.7,190
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,4.29,0.08,5.5,1113
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,4.53,0.14,1.6,182
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,4.68,0.09,4.1,1023
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,5.01,0.15,2.2,413
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,5.04,0.07,2.7,311
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,5.15,0.11,1.9,468
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,5.28,0.12,1.1,69
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,5.33,0.05,8.1,660
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,5.46,0.09,1.7,151
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,5.58,0.03,22.9,2656
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,5.66,0.1,1.3,92
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,5.77,0.07,5.1,1332
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,5.89,0.06,3.5,593
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,6.28,0.05,3,375
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,6.58,0.05,8.1,253
ROOT_PFTC7_SITE2_(nogp)_0001,2,west, DETECT,6.65,0.06,2.3,572
