date,elevation,siteID,aspect,transect,scan_file,position_m,depth_m,amplitude_dB,pixel_count,sample_no,sample_depth_cm,soil_depth_cm,dry_root_mass_g,rock_mass_g,dry_soil_mass_g,root_to_soil_ratio,root_to_soil_and_rock_ratio
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,14.14,0.04,3.7,325,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,14.18,0.09,1.5,261,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,14.29,0.1,1.3,521,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,14.37,0.09,1.1,169,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,14.48,0.05,5.3,757,8,5.5,14,5.29,48.56,74.71,0.070807121,0.042913929
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,14.55,0.12,1.2,267,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,14.6,0.03,6,1084,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,14.63,0.09,2,790,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,14.8,0.04,3.8,679,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,15,0.11,1.1,346,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,15.1,0.13,0.9,138,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,15.19,0.07,1.1,207,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,15.4,0.11,1.5,263,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,15.51,0.09,1.7,520,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,15.77,0.11,1.6,800,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,15.96,0.1,1.4,684,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,16.01,0.02,15.3,2820,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,16.09,0.15,1.2,212,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,16.1,0.08,3.6,1271,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,16.2,0.05,2.6,402,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,16.36,0.08,2.9,877,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,16.42,0.12,1.2,308,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,16.6,0.09,1.2,261,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,16.81,0.05,28.3,4563,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,17.1,0.07,1.4,179,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,17.2,0.06,1.8,353,9,9,14,2.35,243.68,123.38,0.019046847,0.006402223
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,17.45,0.04,15.5,2048,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,17.55,0.06,5.7,616,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,17.74,0.04,11.3,1749,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,17.85,0.06,4.5,685,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2023,2000,1,W,1,ROOT_PFTC7_SITE1_(nogp)_0001,17.93,0.06,1.7,83,NA,NA,NA,NA,NA,NA,NA,NA
