"","Group","elevation","SRL","RTD","RDMC","RD","BI"
"95","CUT",2200,117.197033900709,0.119461589159395,0.000792134831460674,0.243516,1.903202
"96","CUT",2200,65.9097180511182,0.133561404437511,0.000299808429118774,0.305641,1.898715
"97","CUT",2200,83.0281677595628,0.136624736211604,0.000347248576850095,0.275357,2.014591
"98","CUT",2200,89.6446757303371,0.112560518906016,3.73949579831933e-05,0.28224,2.529337
"99","CUT",2200,70.7265751079137,0.453628451602593,0.000463333333333333,0.174889,2.394468
"100","CUT",2600,59.613377046096,0.194503595535281,0.000356711409395973,0.260533,2.223484
"101","CUT",2600,105.442360347222,0.0711011699386446,0.000279611650485437,0.333035,1.566812
"102","CUT",2600,90.8789774451098,0.198891156001052,0.000385384615384615,0.22313,2.122759
"103","CUT",2600,104.37928695,0.134914158505653,0.000249687890137328,0.238948,1.908904
"104","CUT",2600,74.7049583266613,0.157812707285143,0.00033218085106383,0.26257,1.772117
"105","CUT",2400,66.4597390215492,0.114760097525096,0.000402107728337237,0.320884,2.210998
"106","CUT",2400,126.424336914203,0.175445806592869,0.00030890868596882,0.198436,2.075842
"107","CUT",2400,72.5835121677496,0.0817835311904237,0.000315858208955224,0.351271,2.155287
"108","CUT",2400,106.804392809735,0.152663167584084,0.000322857142857143,0.225513,1.791796
"109","CUT",2400,54.1481748809524,0.0980275977912958,0.000330708661417323,0.368141,1.544483
"110","CUT",2800,76.9008391263941,0.112809926204118,0.000376223776223776,0.303984,1.536643
"111","CUT",2800,91.1721143683703,0.152772001562193,0.000347986577181208,0.245487,1.949326
"112","CUT",2800,69.3842086479903,0.0913255371111424,0.000329718875502008,0.362014,1.665952
"113","CUT",2800,99.349102244116,0.0836183956296331,0.000319405594405594,0.313153,1.446195
"114","CUT",2800,80.546305466238,0.156554171604373,0.000372901678657074,0.271142,1.481044
"115","CUT",2600,78.1871825875486,0.255792588638664,0.000448908296943231,0.218289,1.540253
"116","CUT",2600,61.8996681270537,0.193551463076285,0.000409417040358744,0.267726,1.845547
"117","CUT",2600,48.3663590134529,0.273926999281795,0.000489751098096632,0.253746,2.229496
"118","CUT",2600,99.8848716931217,0.0907423937709043,0.000247058823529412,0.329358,1.446109
"119","CUT",2600,141.946523902894,0.112617806269487,0.000250233644859813,0.225376,1.978625
"120","CUT",2400,36.470336524876,0.102771423840999,0.000360010822510823,0.442273,1.649789
"121","CUT",2400,62.9974313609467,0.0551593885751123,0.000400505050505051,0.438742,2.254402
"122","CUT",2400,101.585011221374,0.0764970793765462,0.000352150537634409,0.319293,2.47001
"123","CUT",2400,87.8943085741505,0.0766171262858487,0.000387807881773399,0.341226,2.398302
"124","CUT",2400,108.106147386059,0.0488616595683207,0.000227439024390244,0.367154,1.99449
"125","CUT",2200,51.5913816480447,0.173143469750155,0.000552469135802469,0.316366,1.68871
"126","CUT",2200,70.6992557015239,0.164676254574536,0.000442558139534884,0.280218,2.038045
"127","CUT",2200,87.2353387401575,0.148808994906163,0.000409677419354839,0.270851,1.764918
"128","CUT",2200,32.2223329634465,0.535108543117916,0.000596108949416342,0.225206,2.187802
"129","CUT",2200,94.9908180119582,0.197690230490113,0.00040059880239521,0.219195,1.829301
"130","CUT",2200,87.1578452469136,0.139439970860145,0.000347639484978541,0.271123,2.041139
"131","CUT",2200,90.3273024657534,0.130463806337667,0.00033953488372093,0.280213,1.74328
"132","CUT",2200,95.22664375,0.0826824950590104,0.000363636363636364,0.332226,2.352939
"133","CUT",2200,70.1989815675676,0.152245361917057,0.0003714859437751,0.287812,2.328516
"134","CUT",2200,31.7070120539419,0.16972235929122,0.000483450351053159,0.372248,2.148169
"135","CUT",2800,80.7972044064282,0.137611786748443,0.000334895833333333,0.275439,1.751597
"136","CUT",2800,176.178353003876,0.102120174130334,0.000326582278481013,0.227104,1.872772
"137","CUT",2800,58.950808559499,0.14247915030313,0.000246272493573265,0.327796,1.503323
"138","CUT",2800,99.8445525473071,0.0850537602285968,0.000392571428571429,0.30963,1.982704
"139","CUT",2800,159.950026055046,0.0833372848458762,0.000219758064516129,0.270632,1.814787
"140","CUT",2600,17.0829239306358,1.1266996557379,0.000640740740740741,0.226838,1.888104
"141","CUT",2600,66.097607267645,0.107385560892457,0.00028562874251497,0.349137,1.547803
"142","CUT",2600,80.0754231237323,0.142110254843178,0.000337671232876712,0.297589,1.294419
"143","CUT",2600,60.5137834603659,0.153180064847473,0.000473646209386282,0.321761,1.335112
"144","CUT",2600,123.686446135069,0.0843583930567647,0.000287822014051522,0.293904,1.478186
"145","CUT",2400,56.8709455594002,0.26607821336858,0.000378602620087336,0.239543,2.516878
"146","CUT",2400,27.9478875862069,0.707571626377782,0.000547169811320755,0.238245,1.320191
"147","CUT",2400,52.7784702425373,0.12707282959933,0.000365870307167236,0.357276,1.633129
"148","CUT",2400,54.955682514881,0.214865295606526,0.0003584,0.262754,2.319239
"149","CUT",2400,95.0312404886562,0.131744808237154,0.000333139534883721,0.267274,1.878688
"150","CUT",2200,134.839186956522,0.0567739793201768,0.000161971830985915,0.336295,2.299035
"151","CUT",2200,249.43431875,0.0882668478932165,0.000340425531914894,0.201425,1.804082
"152","CUT",2200,98.8969119736842,0.0752666909309312,0.000305220883534137,0.324995,1.991707
"153","CUT",2200,71.560999483871,0.093173495944287,0.000288640595903166,0.353628,1.694922
"154","CUT",2200,87.5556931192661,0.0630680450945896,0.000302777777777778,0.404853,1.900756
"155","CUT",2800,72.5114662346079,0.117655827728383,0.000311088709677419,0.309491,1.743752
"156","CUT",2800,89.9848601931876,0.0718061539903671,0.000230597889800703,0.338932,1.928246
"157","CUT",2800,57.7453964285714,0.123509212160879,0.000355051546391753,0.328903,1.88108
"158","CUT",2800,175.928913937754,0.121142798540936,0.00022125748502994,0.206714,1.669084
"159","CUT",2600,62.4435268698061,0.194300925990131,0.000342721518987342,0.277166,1.604404
"160","CUT",2600,28.73836625,0.297634407047685,0.000473239436619718,0.322087,1.42915
"161","CUT",2600,47.5624916602317,0.232474163279261,0.000528571428571428,0.275603,1.730704
"162","CUT",2600,69.4437695522388,0.139108043378337,0.00038379705400982,0.291362,1.538881
"163","CUT",2600,86.8819522264151,0.163909670951397,0.000384057971014493,0.254408,1.633967
"164","CUT",2400,185.708649357602,0.049896607178158,0.000125876010781671,0.290127,2.925307
"165","CUT",2400,157.532510991379,0.0790243436534357,0.000147301587301587,0.270181,2.665022
"166","CUT",2400,52.393823447205,0.442350347519775,0.000235036496350365,0.197782,2.391705
"167","CUT",2400,56.7181347569956,0.334017454207511,1.7374616171955e-05,0.223331,2.570653
"168","CUT",2400,100.822632911392,0.12469021616772,0.000356390977443609,0.258114,2.100861
"169","CUT",2200,48.8136958219178,0.250532183553056,0.000443768996960486,0.260309,2.58461
"170","CUT",2200,97.7361569875777,0.0578608445072372,0.000414414414414414,0.333121,2.711064
"171","CUT",2200,44.7947227368421,0.238420098924766,0.000443234836702955,0.26261,2.501078
"172","CUT",2200,56.4457828619529,0.192458422743609,0.000424285714285714,0.271158,2.081793
"173","CUT",2200,39.1225616541353,0.143257219031515,0.000420886075949367,0.375355,2.027559
"174","CUT",2800,68.7874883112791,0.105782835677083,0.000260163934426229,0.348295,1.63696
"175","CUT",2800,77.8437412727692,0.0972395559958019,0.000355491803278689,0.324165,2.10451
"176","CUT",2800,97.5160983379501,0.081649201075761,0.000384042553191489,0.330556,1.583184
