"ID","date","elevation","siteID","aspect","sp","plantID","fire","root_depth_cm","no_root_scan","total_root_wet_mass_g","total_root_dry_mass_g","total_root_length_mm","total_root_volume_mm3","RD","BI","SRL","RTD","RDMC","no_tuber_scan","total_tuber_wet_mass_g","total_tuber_dry_mass_g","reproductive_height_cm","vegetative_height_cm","no_leaf","total_leaf_wet_mass_g","total_leaf_dry_mass_g","leaf_thick_1_mm","leaf_thick_2_mm","leaf_thick_3_mm","total_leaf_area_cm2","SLA","LT","LDMC","belowground_biomass_g","aboveground_biomass_g","ABG_BGB"
"FCI1638","12/05/2023",2200,2,"W","EC",1,1,13.1,5,0.0178,0.0141,1318.066891,89.878793,0.2628,0.515907,93.4799213475177,0.156877941162383,792.134831460674,NA,NA,NA,29.4,5.8,5,0.1573,0.0471,0.213,0.226,0.364,6.012,127.643312101911,0.267666666666667,299.42784488239,1.555,0.5168,0.332347267
"FCJ1591","12/06/2023",2200,2,"W","SG",3,1,13.7,5,0.0249,0.0076,475.886684,44.637035,0.309084,0.319404,62.6166689473684,0.170262204915716,305.220883534137,3,0.3529,0.1016,21.5,17.2,1,1.3984,0.2766,0.706,0.706,0.625,27.513,99.468546637744,0.679,197.797482837529,0.7639,0.6535,0.855478466
"FCK8784","12/08/2023",2600,4,"W","HPA",1,0,8,5,0.0135,0.00865,544.592527,36.687523,0.277841,0.325014,62.9586736416185,0.235774979957082,640.740740740741,4,0.2652,0.05608,21.5,5.3,1,0.4502,0.09691,0.895,0.95,0.872,8.338,86.038592508513,0.905666666666667,215.25988449578,2.58,0.94,0.364341085
"FCL0130","12/08/2023",2600,4,"W","SG",5,1,15.5,5,0.0345,0.01325,1163.305662,83.603139,0.28242,0.328375,87.7966537358491,0.158486872125699,384.057971014493,5,0.191,0.05992,29.8,13.9,1,0.714,0.10252,0.575,0.579,0.565,14.687,143.259851736247,0.573,143.585434173669,0.61,0.55,0.901639344
"FCM1008","12/05/2023",2200,2,"W","TT",2,1,14.8,5,0.0777,0.0322,1556.334871,145.213469,0.306359,0.502463,48.3333810869565,0.221742516184914,414.414414414414,NA,NA,NA,25.8,15.5,5,0.1016,0.0353,0.178,0.133,0.12,9.166,259.660056657224,0.143666666666667,347.44094488189,3.775,3.049,0.807682119
"FCN7125","12/06/2023",2200,2,"W","SG",4,1,10,4,0.0537,0.0155,772.075513,78.73045,0.326135,0.374316,49.8113234193548,0.19687427164458,288.640595903166,4,0.1616,0.0572,37.2,19.8,1,0.9094,0.1676,0.632,0.624,0.627,16.615,99.1348448687351,0.627666666666667,184.297338904772,0.6067,0.8331,1.37316631
"FCO4501","12/08/2023",2600,4,"W","HPA",3,1,7,3,0.0146,0.00493,490.106341,27.432873,0.255907,0.248926,99.4130509127789,0.179711399531504,337.671232876712,5,0.6765,0.1592,21.2,5.1,1,0.7561,0.15403,0.897,1.004,0.96,14.178,92.0470038304227,0.953666666666667,203.716439624388,1.17,1.04,0.888888889
"FCP0847","12/08/2023",2600,4,"W","TT",3,0,14.8,5,0.0304,0.0105,1049.86903,74.93593,0.278884,0.364807,99.9875266666667,0.140119699588702,345.394736842105,NA,NA,NA,22.5,21.5,4,0.1935,0.04616,0.227,0.274,0.24,8.839,191.486135181976,0.247,238.552971576227,7.5,1.75,0.233333333
"FCQ4012","12/06/2023",2200,2,"W","HPA",5,1,9,5,0.0997,0.0482,966.875065,129.933781,0.360265,0.411635,20.0596486514523,0.370958188309782,483.45035105316,5,0.7861,0.2234,19.5,7.5,1,1.0034,0.2235,1.037,1.351,1.308,19.653,87.9328859060403,1.232,222.742674905322,10.9958,2.5699,0.23371651
"FCR0255","12/06/2023",2200,2,"W","HPA",3,1,9,4,0.0088,0.0032,210.729988,21.344409,0.323119,0.588431,65.85312125,0.149922164628686,363.636363636364,5,0.8201,0.183,9.1,10,1,1.5822,0.2741,1.096,1.168,1.48,24.207,88.3144837650492,1.248,173.239792693718,6.0972,2.7975,0.458817162
