barcode,date,elevation,siteID,aspect,project,sp,plantID,leafID,height,root_depth,grazing,fire,resprout,no_root_scan,root_wet_mass_g,no_tuber_scan,tuber_wet_mass_g,no_leaf,leaf_wet_mass_g,leaf_thick_1_mm,leaf_thick_2_mm,leaf_thick_3_mm,notes,drying_status,root_dry_mass,tuber_dry_mass,BGB,leaf_dry_mass,AGB
FEH0081,09/12/2023,2400,3,W,R,TT,1,31,18.9,19,,,,5,0.0237,NA,NA,5,0.234,0.142,0.137,0.147,,Djoe,,,,,
FED1194,09/12/2023,2400,3,W,R,TT,2,28.5,16,16.5,,,,4,0.0288,NA,NA,5,0.174,0.126,0.103,0.161,,TD,,,,,
FDZ1151,09/12/2023,2400,3,W,R,TT,3,37.6,19.5,21.5,,Y,,5,0.0314,NA,NA,5,0.2419,0.237,0.371,0.222,,TD,,,,,
FDV4335,09/12/2023,2400,3,W,R,TT,4,24.6,13.2,21.6,,Y,,4,0.0436,NA,NA,5,0.1258,0.128,0.128,0.125,,TD,,,,,
FDR6843,09/12/2023,2400,3,W,R,TT,5,23.9,20.1,19.6,,Y,,5,0.0381,NA,NA,5,0.2408,0.2,0.145,0.21,,TD,,,,,
FDN1018,09/12/2023,2400,3,W,R,HF,1,28.6,13.5,13,,Y,,4,0.1848,NA,NA,5,0.6985,0.372,0.333,0.33,,TD,,,,,
FDJ1565,09/12/2023,2400,3,W,R,HF,2,35.3,13.3,10,,Y,,5,0.2574,NA,NA,5,0.8073,0.397,0.326,0.287,,Djoe,,,,,
FDF3034,09/12/2023,2400,3,W,R,HF,3,22,15,12,,Y,,4,0.0372,NA,NA,5,0.852,0.414,0.387,0.385,,Djoe,,,,,
FGI9956,09/12/2023,2400,3,W,R,HF,4,18.5,16,12,,Y,,5,0.0812,NA,NA,5,0.6889,0.361,0.354,0.407,7 leaves on bag bcs broken - check scans!,Djoe,,,,,
FES3675,09/12/2023,2400,3,W,R,HF,5,41.2,14.4,8,,Y,,5,0.0656,NA,NA,5,0.9684,0.379,0.454,0.385,,TD,,,,,
FGE4515,09/12/2023,2400,3,W,R,EC,1,30.5,9.4,14,,,,5,0.0427,NA,NA,5,0.1902,0.18,0.188,0.207,,TD,,,,,
FGJ9233,09/12/2023,2400,3,W,R,EC,2,20.1,6.9,11,,Y,,5,0.0449,NA,NA,5,0.1831,0.193,0.18,0.188,,TD,,,,,
FGA6390,09/12/2023,2400,3,W,R,EC,3,27.7,9.9,13,,Y,,5,0.1072,NA,NA,5,0.1708,0.175,0.167,0.164,,TD,,,,,
FEC6189,09/12/2023,2400,3,W,R,EC,4,20.8,11.6,12.5,,Y,,5,0.028,NA,NA,5,0.1414,0.241,0.229,0.168,,TD,,,,,
FGB1616,09/12/2023,2400,3,W,R,EC,5,25.1,13.6,14,,Y,,5,0.0508,NA,NA,5,0.1497,0.195,0.188,0.162,,TD,,,,,
FFK2932,13/12/2023,2200,2,W,R,HF,1,45,13.5,13,,Y,,5,0.0648,NA,NA,5,0.411,0.345,0.341,0.377,,TD,,,,,
FFL3841,13/12/2023,2200,2,W,R,HF,2,46.5,32.5,14,,,,5,0.043,NA,NA,5,0.8081,0.294,0.401,0.312,9 leaf pieces,TD,,,,,
FFW6775,13/12/2023,2200,2,W,R,HF,3,44.3,23,12,,,,5,0.0465,NA,NA,5,0.686,0.362,0.368,0.332,,TD,,,,,
FFS2715,13/12/2023,2200,2,W,R,HF,4,31,11,13,,,,5,0.0514,NA,NA,5,0.6533,0.32,0.361,0.335,6 leaf pieces,TD,,,,,
FFG0527,13/12/2023,2200,2,W,R,HF,5,37,20,12.5,,,,5,0.0334,NA,NA,5,0.4812,0.305,0.35,0.342,,TD,,,,,
