SCAN FILE,SITE,TRANSECT,SLOPE, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,17.1,0.07,1.4,179
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,17.2,0.06,1.8,353
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,17.45,0.04,15.5,2048
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,17.55,0.06,5.7,616
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,17.74,0.04,11.3,1749
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,17.85,0.06,4.5,685
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,17.93,0.06,1.7,83
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,18,0.07,1.6,155
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,18.08,0.05,7.4,866
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,18.28,0.08,1.4,221
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,18.7,0.09,1.6,326
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,18.76,0.05,5.6,1514
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,19.02,0.06,2.3,274
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,19.07,0.02,10.5,408
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,19.14,0.07,1.9,497
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,19.18,0.04,6.3,2143
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,19.3,0.13,1.4,319
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,19.48,0.04,5.7,973
ROOT_PFTC7_SITE1_(nogp)_0001,1,1,west, DETECT,19.7,0.07,3.6,668
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,0.06,0.07,3.7,1211
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,0.14,0.07,2.3,580
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,0.34,0.03,22.1,2212
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,0.47,0.09,1.3,152
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,0.58,0.1,4.2,1495
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,0.69,0.08,3.8,844
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,1.06,0.09,1.8,394
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,1.2,0.04,8,346
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,1.24,0.09,2.9,622
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,1.32,0.12,5.5,771
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,1.46,0.1,18.2,3628
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,1.55,0.06,7.6,736
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,1.8,0.12,3,383
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,1.83,0.04,35.9,4624
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,2,0.12,1.4,409
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,2.4,0.11,2,958
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,2.58,0.08,2.4,1556
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,2.82,0.11,3.5,2115
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,2.94,0.06,5.3,1311
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,3.2,0.1,1.5,455
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,3.26,0.02,9.4,776
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,3.33,0.07,2.7,775
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,3.45,0.07,3.2,459
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,3.86,0.05,39.5,2274
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,4,0.09,2.6,1141
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,4.13,0.13,1.2,328
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,4.21,0.07,3,479
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,4.29,0.1,2.7,817
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,4.39,0.03,26.8,493
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,4.51,0.08,3.4,817
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,4.72,0.1,8.1,921
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,4.98,0.09,2,935
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,5.04,0.03,20.1,3415
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,5.11,0.09,8.7,997
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,5.19,0.08,1.5,144
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,5.31,0.1,2.9,1211
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,5.56,0.1,1.6,316
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,5.87,0.07,4.8,2008
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,5.92,0.12,1.6,240
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,6.01,0.06,2.9,565
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,6.4,0.08,1.3,209
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,6.46,0.03,24.8,1921
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,6.53,0.09,1.4,173
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,6.7,0.06,4.2,1377
ROOT_PFTC7_SITE1_(nogp)_0002,1,2,west, DETECT,6.88,0.07,3.3,571
