File.Name,date,elevation,siteID,aspect,project,sp,plantID,leafID,height,root_depth,grazing,fire,resprout,no_root_scan,root_wet_mass_g,no_tuber_scan,tuber_wet_mass_g,no_leaf,leaf_wet_mass_g,leaf_thick_1_mm,leaf_thick_2_mm,leaf_thick_3_mm,root_dry_mass,tuber_dry_mass,BGB,leaf_dry_mass,AGB,leaf_area_nr,leaf_area
FEL2208,12/08/2023,2600,4,W,R,EC,3,26.2,9.5,17.2,,Y,,5,0.026,NA,NA,5,0.1797,0.16,0.18,0.187,0.01002,NA,12.7,0.05629,1.23,5,10.299
FEO1874,12/09/2023,2400,3,W,R,HPA,1,13.5,4.2,9,,Y,Y,3,0.0229,5,0.7407,1,0.8182,0.954,0.893,0.922,0.00867,0.13608,1.17,0.15648,0.91,1,14.659
FEP9413,12/08/2023,2600,4,W,R,TT,4,17.2,14.6,21.2,,,,5,0.024,NA,NA,5,0.1739,0.179,0.177,0.188,0.01014,NA,25.92,0.05042,2.25,6,10.053
FES3675,12/09/2023,2400,3,W,R,HF,5,41.2,14.4,8,,Y,,5,0.0656,NA,NA,5,0.9684,0.379,0.454,0.385,0.01492,NA,5.13,0.22844,3.97,5,30.487
FET3274,12/08/2023,2800,5,NW,R,TT,5,NA,12,18,,Y,,5,0.0191,NA,NA,5,0.1717,0.136,0.121,0.177,0.1004,NA,19.21,0.05594,3.32,5,12.585
FEU2975,12/09/2023,2400,3,W,R,HPA,3,33.5,6.9,8,,Y,Y,3,0.0293,5,0.5238,1,0.4367,0.762,0.755,0.864,0.01072,0.09544,1.45,0.08267,0.8,1,9.015
FEV1588,12/08/2023,2600,4,W,R,HF,2,17.7,7.5,20,,,,5,0.0223,NA,NA,5,0.5792,0.353,0.339,0.334,0.00913,NA,7.28,0.14626,1.33,8,18.153
FEY3832,12/08/2023,2600,4,W,R,EC,1,19.4,7.5,11,,,,4,0.0298,NA,NA,4,0.1059,0.17,0.164,0.166,0.01063,NA,3.49,0.03243,0.5,5,6.192
FEZ5712,12/08/2023,2600,4,W,R,HF,4,24,9.7,19.6,,Y,,5,0.0153,NA,NA,4,0.496,0.379,0.329,0.309,0.00378,NA,6.15,0.12884,1.03,4,13.364
FFC7215,12/08/2023,2800,5,NW,R,TT,3,NA,15.2,19.2,,Y,,5,0.0282,NA,NA,5,0.1293,0.085,0.105,0.097,0.01083,NA,24.87,0.0405,11.39,6,9.295
FFD9944,12/08/2023,2600,4,W,R,HF,5,22,6.8,15,,,,4,0.0428,NA,NA,5,0.3042,0.29,0.332,0.311,0.01071,NA,8.07,0.06996,0.64,6,11.461
FFG0527,12/13/2023,2200,2,W,R,HF,5,37,20,12.5,,,,5,0.0334,NA,NA,5,0.4812,0.305,0.35,0.342,0.01338,NA,15.63,0.12929,3.56,6,14.509
FFH9263,12/08/2023,2800,5,NW,R,TT,1,NA,13.2,20.4,,Y,,5,0.122,NA,NA,5,0.1446,0.158,0.12,0.14,0.03174,NA,34.25,0.04532,4.85,7,10.794
FFK2932,12/13/2023,2200,2,W,R,HF,1,45,13.5,13,,Y,,5,0.0648,NA,NA,5,0.411,0.345,0.341,0.377,0.0358,NA,2.59,0.10698,1.81,5,11.601
FFL3841,12/13/2023,2200,2,W,R,HF,2,46.5,32.5,14,,,,5,0.043,NA,NA,5,0.8081,0.294,0.401,0.312,0.01903,NA,10.24,0.19192,6.89,10,22.476
FFO5284,12/08/2023,2600,4,W,R,TT,5,14,11.6,12.8,,Y,,4,0.0239,NA,NA,4,0.1521,0.203,0.299,0.301,0.00789,NA,5.34,0.04988,0.087,6,12.889
FFP1160,12/08/2023,2800,5,NW,R,HF,4,21.6,7.1,17,,Y,,5,0.0572,NA,NA,5,0.4485,0.345,0.336,0.301,0.01827,NA,6.84,0.10985,11.11,5,13.789
FFS2715,12/13/2023,2200,2,W,R,HF,4,31,11,13,,,,5,0.0514,NA,NA,5,0.6533,0.32,0.361,0.335,0.03064,NA,21.04,0.15607,6.87,6,18.569
FFT9800,12/09/2023,2400,3,W,R,SG,2,38.9,21.5,8,,Y,Y,4,0.0315,5,0.2278,1,0.6912,0.521,0.592,0.533,0.00464,0.08481,1.19,0.11621,0.68,1,12.847
FFU7165,12/09/2023,2400,3,W,R,SG,1,37,22.2,15,,Y,Y,5,0.0742,5,0.3228,1,1.0568,0.712,0.694,0.794,0.00934,0.06723,1.79,0.1702,0.89,1,18.747
FFW6775,12/13/2023,2200,2,W,R,HF,3,44.3,23,12,,,,5,0.0465,NA,NA,5,0.686,0.362,0.368,0.332,0.01905,NA,6.89,0.18022,5.41,5,17.963
FFX9242,12/08/2023,2800,5,NW,R,HF,3,18.6,10.8,23,,Y,,5,0.0747,NA,NA,5,0.4311,0.37,0.337,0.376,0.02463,NA,12.64,0.10177,6.2,5,15.554
FFY6725,12/08/2023,2600,4,W,R,EC,4,30.2,10,16,,,,5,0.0801,NA,NA,5,0.235,0.17,0.182,0.186,0.02,NA,11.83,0.08155,1.62,5,13.813
FGA6390,12/09/2023,2400,3,W,R,EC,3,27.7,9.9,13,,Y,,5,0.1072,NA,NA,5,0.1708,0.175,0.167,0.164,0.03386,NA,11.49,0.05967,1.91,6,11.079
FGB1616,12/09/2023,2400,3,W,R,EC,5,25.1,13.6,14,,Y,,5,0.0508,NA,NA,5,0.1497,0.195,0.188,0.162,0.0168,NA,4.95,0.04887,0.28,6,8.502
FGC0245,12/09/2023,2400,3,W,R,HPA,4,30.4,4.7,9.5,,Y,Y,5,0.0375,5,0.789,1,0.6843,0.943,0.797,0.852,0.01344,0.12903,6.55,0.12099,0.88,1,11.784
FGE4515,12/09/2023,2400,3,W,R,EC,1,30.5,9.4,14,,,,5,0.0427,NA,NA,5,0.1902,0.18,0.188,0.207,0.01717,NA,2.64,0.06281,0.89,5,9.654
FGF3594,12/08/2023,2800,5,NW,R,HF,5,23,10.4,15.6,,Y,,5,0.0417,NA,NA,5,0.5815,0.337,0.322,0.299,0.01555,NA,2.96,0.14747,8.88,5,19.906
FGG8281,12/08/2023,2600,4,W,R,EC,5,13,17,17,,Y,,5,0.0752,NA,NA,5,0.1677,0.167,0.142,0.156,0.02498,NA,8.99,0.05813,2.52,5,9.824
FGI9956,12/09/2023,2400,3,W,R,HF,4,18.5,16,12,,Y,,5,0.0812,NA,NA,5,0.6889,0.361,0.354,0.407,0.03149,NA,9.21,0.15852,11.13,8,21.095
FGJ9233,12/09/2023,2400,3,W,R,EC,2,20.1,6.9,11,,Y,,5,0.0449,NA,NA,5,0.1831,0.193,0.18,0.188,0.01387,NA,2.41,0.06427,1.34,5,10.8
FGK3505,12/08/2023,2600,4,W,R,HF,3,22.5,10.1,11.2,,,,5,0.0683,NA,NA,5,0.5442,0.395,0.402,0.386,0.03345,NA,2.56,0.13154,1.13,5,18.328
FGM0803,12/08/2023,2800,5,NW,R,HF,1,19.5,11,14.2,,Y,,5,0.0572,NA,NA,5,0.547,0.325,0.333,0.326,0.02152,NA,16.63,0.14015,4.58,6,16.866
FGN0784,12/08/2023,2800,5,NW,R,HF,2,17,8.1,21.1,,Y,,5,0.0298,NA,NA,5,0.4848,0.304,0.26,0.288,0.01037,NA,11.91,0.12216,2.42,5,17.529
FGO9191,12/08/2023,2600,4,W,R,EC,2,10,6,15.4,,,,4,0.0515,NA,NA,5,0.8,0.154,0.158,0.172,0.0144,NA,0.86,0.02,0.4,6,5.339
