File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Root.Length.Diameter.Range.4.mm,Root.Length.Diameter.Range.5.mm,Root.Length.Diameter.Range.6.mm,Root.Length.Diameter.Range.7.mm,Root.Length.Diameter.Range.8.mm,Root.Length.Diameter.Range.9.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Projected.Area.Diameter.Range.4.mm2,Projected.Area.Diameter.Range.5.mm2,Projected.Area.Diameter.Range.6.mm2,Projected.Area.Diameter.Range.7.mm2,Projected.Area.Diameter.Range.8.mm2,Projected.Area.Diameter.Range.9.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.4.mm2,Surface.Area.Diameter.Range.5.mm2,Surface.Area.Diameter.Range.6.mm2,Surface.Area.Diameter.Range.7.mm2,Surface.Area.Diameter.Range.8.mm2,Surface.Area.Diameter.Range.9.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3,Volume.Diameter.Range.4.mm3,Volume.Diameter.Range.5.mm3,Volume.Diameter.Range.6.mm3,Volume.Diameter.Range.7.mm3,Volume.Diameter.Range.8.mm3,Volume.Diameter.Range.9.mm3
FFC7215,Full,194,382,900.798092,0.424068,232.108855,0.306958,0.254,1.439333,1653.151522,81.179114,862.026212,1.934,357.093194,461.358947,61.809941,16.588222,2.868911,1.078877,0,0,0,70.525619,149.125307,36.235592,13.944006,3.107938,1.437797,0,0,0,221.562765,468.538741,113.83747,43.806387,9.763875,4.516973,0,0,0,11.357638,39.511489,16.883425,9.266305,2.651777,1.508479,0,0,0
FCH5965,Full,247,447,1303.539685,0.342912,308.364975,0.273399,0.254,1.019522,2449.667091,89.067164,1115.78327,6.358,644.249515,594.564214,60.668703,3.88792,0.169333,0,0,0,0,123.320531,193.139289,35.351614,3.100119,0.172192,0,0,0,0,387.422873,606.908289,111.17184,9.739312,0.540956,0,0,0,0,19.237042,51.352094,16.38914,1.951366,0.137522,0,0,0,0
FET3274,Full,214,444,1137.416052,0.390358,247.497713,0.252849,0.239473,1.100667,2136.070561,66.006879,898.554412,4.142,667.206732,429.824905,34.970733,5.064744,0.348938,0,0,0,0,128.835271,132.425689,20.12825,4.229411,0.369719,0,0,0,0,404.747941,416.123118,63.234761,13.287086,1.161506,0,0,0,0,20.250786,33.454689,9.202123,2.791429,0.307852,0,0,0,0
FCX5914,Full,231,456,1095.216982,0.416356,241.051489,0.255433,0.239473,0.965349,2070.085319,65.49297,872.78178,2.478,649.617339,399.902288,43.564399,2.132956,0,0,0,0,0,121.174527,130.378619,24.503333,1.748452,0,0,0,0,0,380.712853,409.596513,76.979492,5.492923,0,0,0,0,0,18.544785,34.87443,10.941425,1.13233,0,0,0,0,0
FCT4052,Full,295,530,1353.774059,0.391498,341.886413,0.293154,0.254,1.295151,2538.630411,112.656251,1242.446096,2.935,634.782319,592.299273,109.130578,14.004126,3.395692,0.16207,0,0,0,119.060463,197.552629,63.160812,11.736197,3.758386,0.206375,0,0,0,374.064653,620.629887,198.425544,36.870349,11.807318,0.648345,0,0,0,18.348186,54.062765,28.990235,7.771807,3.276819,0.206439,0,0,0
FCP0847,Full,237,383,1049.86903,0.364807,251.223512,0.278884,0.254,1.25866,1976.579126,74.93593,913.947415,2.95,488.862135,505.841097,48.553502,4.33906,2.188569,0.084667,0,0,0,93.664412,163.704371,27.272515,3.583913,2.491278,0.106567,0,0,0,294.271354,514.435768,85.819726,11.259196,7.826581,0.334789,0,0,0,14.661925,43.394264,12.197953,2.341962,2.23448,0.105346,0,0,0
FEP9413,Full,188,392,949.364572,0.412908,219.985223,0.274748,0.254,1.100667,1746.1659,64.238945,811.846791,2.302,440.838851,471.450356,33.8212,2.676026,0.57814,0,0,0,0,82.682967,153.726771,19.170232,2.159692,0.606282,0,0,0,0,259.756202,483.090213,60.310816,6.784871,1.90469,0,0,0,0,12.701534,40.993212,8.667231,1.377287,0.49968,0,0,0,0
FFO5284,Full,206,350,1189.621186,0.294211,249.854339,0.237189,0.239473,0.780588,2294.106426,58.421813,883.39182,3.505,761.812936,410.623107,17.058143,0.127,0,0,0,0,0,145.569304,125.917483,9.577989,0.097161,0,0,0,0,0,457.319456,395.676984,30.090139,0.305242,0,0,0,0,0,22.609569,31.484944,4.268908,0.058393,0,0,0,0,0
FEH0081,Full,170,393,857.687413,0.458209,194.429719,0.272998,0.239473,1.317104,1576.524059,64.205967,727.278451,2.05,489.166978,300.798871,53.475473,10.921786,2.975367,0.348938,0,0,0,87.094696,99.61758,31.858988,9.141534,3.270198,0.444438,0,0,0,273.616056,313.099831,100.173717,28.718975,10.27363,1.396242,0,0,0,12.771564,26.985918,15.111855,6.056947,2.834938,0.444745,0,0,0
FED1194,Full,116,238,536.457227,0.443651,133.186114,0.292776,0.254,1.17927,996.177651,44.263995,490.59479,2.654,251.463216,233.86462,44.062946,6.002094,1.06435,0,0,0,0,47.218036,76.939936,25.835422,4.975462,1.141002,0,0,0,0,148.339836,241.875142,81.164373,15.630874,3.584564,0,0,0,0,7.280599,20.714468,12.046656,3.259367,0.962905,0,0,0,0
FDZ1151,Full,281,475,1140.441533,0.416505,243.538939,0.246726,0.239473,0.900019,2183.127833,63.558866,879.085216,3.89,670.561551,439.276631,28.392991,2.210359,0,0,0,0,0,120.340091,141.442492,16.131079,1.774435,0,0,0,0,0,378.059545,444.773837,50.67728,5.574553,0,0,0,0,0,17.846681,37.301137,7.289623,1.121426,0,0,0,0,0
FDV4335,Full,241,487,1325.862079,0.367308,290.418774,0.252789,0.239473,1.185333,2517.458332,79.482784,1047.741259,4.907,764.32844,514.142133,40.553018,5.869077,0.969412,0,0,0,0,137.938829,166.222167,23.256412,4.993287,1.060225,0,0,0,0,433.363535,522.297883,73.062173,15.686874,3.330795,0,0,0,0,20.554292,44.075025,10.58266,3.356665,0.914141,0,0,0,0
FDR6843,Full,263,515,1321.921252,0.389584,293.551384,0.260498,0.239473,0.957894,2489.572132,85.149809,1073.262058,4.18,775.449128,462.330424,74.775975,9.365725,0,0,0,0,0,142.269843,148.593553,43.126016,7.576615,0,0,0,0,0,446.953894,466.925604,135.579922,23.802638,0,0,0,0,0,21.361133,39.159617,19.795889,4.833171,0,0,0,0,0
