SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 16.60, 0.09, 1.2, 261
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 16.81, 0.05, 28.3, 4563
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 17.10, 0.07, 1.4, 179
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 17.20, 0.06, 1.8, 353
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 17.45, 0.04, 15.5, 2048
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 17.55, 0.06, 5.7, 616
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 17.74, 0.04, 11.3, 1749
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 17.85, 0.06, 4.5, 685
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 17.93, 0.06, 1.7, 83
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 18.00, 0.07, 1.6, 155
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 18.08, 0.05, 7.4, 866
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 18.28, 0.08, 1.4, 221
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 18.70, 0.09, 1.6, 326
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 18.76, 0.05, 5.6, 1514
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 19.02, 0.06, 2.3, 274
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 19.07, 0.02, 10.5, 408
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 19.14, 0.07, 1.9, 497
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 19.18, 0.04, 6.3, 2143
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 19.30, 0.13, 1.4, 319
ROOT_PFTC7_SITE1_(nogp)_0001, , DETECT, 19.48, 0.04, 5.7, 973
