date,elevation_m_asl,site_id,aspect,scan_file,type,position_m,depth_m,amplitude_dB,pixel_count
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,0.97,0.04,42.0,1573
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,1.09,0.06,16.0,1508
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,1.21,0.05,2.9,210
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,1.28,0.08,5.5,1142
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,1.36,0.05,2.9,547
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,1.43,0.10,2.0,486
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,1.62,0.09,2.4,583
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,1.71,0.13,1.4,311
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,1.95,0.07,3.7,1148
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,1.99,0.13,2.4,445
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,2.19,0.12,2.8,1472
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,2.29,0.13,4.5,585
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,2.67,0.07,6.1,1225
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,2.8,0.06,3.0,497
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,3,0.13,1.3,196
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,3.16,0.09,1.5,139
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,3.56,0.09,1.8,311
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,3.67,0.08,5.1,1042
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,3.95,0.06,6.1,1163
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,4.18,0.08,5.7,1872
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,4.26,0.09,1.7,378
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,4.55,0.08,2.5,1424
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,4.68,0.09,1.6,179
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,4.79,0.06,2.0,526
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,4.99,0.04,19.1,2140
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,5.36,0.08,1.7,424
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,5.39,0.03,35.6,1398
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,5.55,0.09,2.2,335
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,5.62,0.09,2.6,377
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,5.75,0.05,3.2,522
14/12/2023,2200,2,east,ROOT_PFTC7_SITE2_(nogp)_plot_e,DETECT,5.95,0.08,2.6,499
